------------------------------------------------------------------------------------------------- Source: sample1.mfc --------------------------------------------------------------------------------------------------
  Sample Bytes:  104      Sample Kind:   MFCC_D_Z_0
  Num Comps:     26       Sample Period: 10000.0 us
  Num Samples:   1032     File Format:   HTK
------------------------------------------------------------------------------------------------ Observation Structure -------------------------------------------------------------------------------------------------
x:      MFCC-1  MFCC-2  MFCC-3  MFCC-4  MFCC-5  MFCC-6  MFCC-7  MFCC-8  MFCC-9 MFCC-10 MFCC-11 MFCC-12      C0   Del-1   Del-2   Del-3   Del-4   Del-5   Del-6   Del-7   Del-8   Del-9  Del-10  Del-11  Del-12   DelC0
--------------------------------------------------------------------------------------------------- Samples: 0->200 ----------------------------------------------------------------------------------------------------
0:      -9.315   0.189  -0.692  -0.288  -2.339   5.839  -0.262  -0.757   2.349   7.696  -1.272   0.021 -10.688  -0.005   0.495   0.045  -0.285   0.093   1.178   0.909   0.662  -0.380  -1.215  -0.892  -0.678  -0.052
1:      -9.516   1.543  -0.035  -0.730  -1.598  10.712  -0.435  -0.019   2.918   7.477  -2.735  -5.152 -11.021  -0.252   0.287  -0.312  -0.476  -0.550   0.493   0.883   0.886  -0.460  -1.087  -0.440   0.730  -0.172
2:      -9.240   1.988  -0.796  -1.492  -2.245   9.293   4.371   2.182   0.167   1.730  -5.002  -0.780 -10.783  -0.231  -0.063  -0.434  -0.095  -0.556  -0.089   0.548   0.519  -0.374  -0.185   0.640   0.810  -0.134
3:     -10.613   0.724  -2.199  -2.065  -5.135   6.575   1.835   2.203   1.139   5.244  -1.607   4.074 -11.501  -0.086  -0.263  -0.440   0.322  -0.835  -1.178  -0.483  -0.435   0.120   0.118   0.361   0.853  -0.086
4:      -9.921   0.283  -1.782  -0.097  -3.349   7.461   1.343   0.724   1.371   7.888   1.366  -0.541 -11.117  -0.045  -0.425  -0.422  -0.030  -0.879  -0.937  -1.415  -1.857  -0.045   0.815  -0.064  -0.831  -0.059
5:      -9.604   1.082  -1.741   0.181  -5.220   5.740  -1.334  -1.466   2.914   4.990  -4.113  -1.009 -11.286   0.407  -0.057   0.075   0.029  -0.275  -0.386  -0.813  -1.135   0.063  -0.013  -0.807  -0.684   0.230
6:      -9.970  -0.317  -3.133  -2.763  -6.598   5.027  -1.120  -5.270  -0.946   5.934  -4.067  -2.393 -11.186   0.209   0.221  -0.002  -0.230  -0.355  -0.075  -0.062  -0.166   0.496  -0.443  -0.645   0.253   0.023
7:      -8.554   0.738  -1.147  -0.587  -4.888   5.861  -0.999  -0.477   2.615   6.155  -2.924   1.577 -10.316   0.087  -0.016   0.031   0.075  -0.122   0.216   0.614   1.361   0.167  -0.444   0.065   0.580  -0.137
8:      -9.400   1.562  -2.091  -0.861  -5.291   7.025   0.864  -0.600   4.002   5.090  -2.452  -0.569 -11.488   0.131   0.186   0.416   0.353  -0.019   0.551   0.509   1.474  -0.275  -0.763   0.082   0.140  -0.066
9:      -9.453   0.060  -2.107  -0.396  -6.482   5.822   0.744   3.003   1.274   3.189  -4.597   0.980 -11.820  -0.154  -0.055  -0.221  -0.157  -0.228   0.285   0.468   0.468  -1.659  -0.819   0.238  -0.553  -0.182
10:     -8.865   0.952  -0.572  -1.095  -5.897   7.801   0.553   0.358  -1.650   3.601  -2.820  -1.393 -10.765   0.029  -0.140   0.022   0.064   0.037   0.433   0.449   0.808  -0.437   0.218   0.076  -0.804  -0.056
11:     -9.593   0.769  -3.013  -1.257  -5.725   6.899   1.495   1.384  -2.854   2.806  -1.551  -0.776 -11.587  -0.285   0.146   0.162   0.155   0.885   0.579   0.175   0.148   1.270   1.053   0.576  -0.013  -0.233
12:     -9.183   0.507  -1.528  -0.112  -5.485   8.654   2.734   4.250   3.882   6.373  -3.593  -3.713 -11.887  -0.201   0.234  -0.069   0.156   0.543  -0.012  -0.053  -0.805   1.201   1.332   0.314   0.121  -0.315
13:    -10.718   1.013  -0.818  -0.114  -2.265   8.289   0.530   1.798   4.858   7.069  -1.329   2.074 -12.423   0.985  -2.962  -1.171   1.313  -0.267  -4.536   2.800  -1.848  -0.938   2.510  -0.485   0.926   2.469
14:     -9.306   1.999  -2.013  -0.886  -4.911   7.046   0.769  -3.873   0.496   8.130  -1.363  -2.213 -11.924   2.608  -4.091   0.477  -0.192   0.686  -7.999   5.108  -3.877  -1.414  -1.033  -0.365  -1.191   8.266
15:     -4.605 -14.788  -8.627   5.693  -7.344 -14.975  16.477  -3.793  -5.852  14.479  -5.089   3.101   0.776   3.511  -3.126   3.106  -1.591   1.224  -7.279   4.939  -4.995  -0.451  -4.101  -0.030  -2.721  10.832
16:      0.801 -12.046   4.763  -3.974   0.484 -19.707  20.300 -12.338   2.169  -2.499  -3.540 -10.183  22.844   3.881   0.556   4.578  -1.735   2.130  -3.731   2.231  -3.512   1.336  -7.180   0.323  -1.178   8.638
17:      1.784  -7.597  11.324  -6.524   1.158 -14.731  15.461 -18.946   1.765  -8.124  -0.389  -7.544  24.354   3.332   4.480   3.817  -2.551   1.271   3.597  -3.542  -3.177   4.017  -8.301   0.185  -0.269   4.243
18:      6.902   1.181  10.903  -3.454   1.486 -11.733  12.435 -13.858   3.368 -16.469  -2.096  -2.781  19.479   2.987   3.416  -0.973  -0.610  -1.041   4.680  -5.209  -0.510   2.915  -4.618   1.377   3.563   0.010
19:      9.006   0.998   7.389  -7.322  -1.489  -0.976   2.697 -18.915  13.633 -20.043  -4.889  -1.946  23.672   3.429   1.604  -3.722  -0.794  -1.465   1.388  -3.357   2.102   2.349  -0.824   1.635   3.752  -0.182
20:     12.125   0.737   1.864  -6.624  -3.397  -3.184   0.639 -14.901  10.808 -19.629   5.596   4.831  23.233   3.076  -0.146  -4.126  -1.672  -1.346  -1.095  -1.713   3.529   0.264   3.916   1.740   2.563  -0.225
21:     16.315   0.646  -2.765  -8.906  -3.726 -12.065   4.573  -7.913   9.788 -10.664   3.941   7.412  21.565   2.787  -0.070  -2.896  -1.175  -0.723  -2.543  -0.069   4.826  -1.764   6.363   1.206   1.354  -1.566
22:     18.626   0.628  -4.648 -11.022  -4.127 -11.665   2.931  -1.717   6.609  -1.578   2.189   5.357  19.409   2.145  -0.224  -1.664  -0.496   0.031  -1.194  -0.349   5.005  -1.687   5.913  -0.957  -1.301  -1.596
23:     19.690   0.703  -3.837 -10.997  -4.740  -9.451   1.205  -1.375   6.911   2.746   2.846   4.563  17.752   1.386  -0.637  -1.536   1.510   0.670  -1.046  -1.165   4.860  -2.403   3.348  -0.240  -2.152  -1.100
24:     21.163  -0.410  -5.921  -8.058  -2.735 -10.460   0.579   6.856   3.809   3.229   1.358  -0.249  17.160   0.783  -0.420  -1.575   1.859   0.979  -1.634  -0.553   3.572  -3.173   1.739   0.064  -1.401  -0.517
25:     21.977  -2.022  -9.811  -2.840  -1.070 -17.895  -0.076  12.100  -0.829   3.670   3.157  -0.543  17.188   0.720   0.061  -2.249   0.804   1.657  -1.306  -0.092   2.464  -4.070   0.961   0.566  -0.049  -0.430
26:     21.397  -0.112  -9.537  -5.806  -1.065 -15.614   0.806   9.403  -5.385   6.655   2.354   0.903  17.108   0.235   0.209  -1.353  -0.118   1.192   0.127   0.511  -0.222  -2.588  -0.096   0.529   2.039  -0.426
27:     23.172   0.856 -13.273  -8.104   2.712 -13.405   0.633   9.672  -8.840   5.840   5.180   3.740  15.630  -0.076   0.240  -0.408  -0.658   0.881   1.827   0.752  -1.446  -0.490  -1.184   0.085   2.725  -0.354
28:     21.740  -0.807 -10.954  -6.017   1.333 -12.073   2.782   6.959  -5.124   1.662   2.993   7.807  15.807  -0.176   0.113  -0.384  -0.243   0.845   1.697   0.925  -2.149   0.287  -1.185  -0.079   1.709  -0.006
29:     21.424  -0.474 -11.143  -6.025   2.136 -10.529   2.698   6.091  -3.411   0.246   3.262   9.631  16.067  -0.308  -0.132   0.459   0.192   0.155   1.644   0.922  -3.223  -1.059  -0.288   0.736   0.463   0.411
30:     21.392   1.117 -12.524  -8.060   3.447  -8.568   4.397   0.448  -6.668   3.527   2.917   6.502  16.861   0.112  -0.260   0.040   1.138  -0.201   1.565   0.358  -3.388  -2.827  -0.073   1.862  -0.928   0.383
31:     21.807  -0.764 -10.192  -6.125   2.431  -6.937   4.437  -3.187 -13.365   3.466   8.898   6.708  17.158   0.171  -0.700   0.612   1.859  -1.351   1.275   0.993  -2.822  -4.281  -0.880   3.098  -1.329   0.209
32:     22.108  -1.962 -11.228  -0.275   0.183  -6.045   3.703  -5.340 -14.284  -0.315   9.483   4.627  17.175   0.077  -0.996   0.901   2.515  -1.063   0.730  -0.005  -1.899  -3.094  -1.760   2.732  -0.307  -0.105
33:     21.920  -2.436  -8.731  -0.621  -2.987  -5.413   8.008  -5.127 -21.006  -2.234  15.470   3.926  16.955  -0.424  -0.275   0.881   1.586   0.204   0.286  -0.657  -2.075  -1.267  -1.860   1.971   0.262  -0.165
34:     21.720  -3.025  -8.748   1.763   0.843  -5.679   2.588  -8.077 -18.316  -2.421  13.291   6.357  16.438  -0.800   0.373   1.258  -0.215   1.294   0.206  -1.345  -2.068   0.075  -0.888   1.463   0.588  -0.086
35:     19.880  -1.609  -7.027   0.786   3.122  -5.690   1.710 -12.193 -17.684  -4.782  16.850   7.154  16.703  -0.795   0.562   1.139  -0.928   1.526   0.503  -2.961  -0.281   1.437  -0.462   0.315  -0.044  -0.022
